                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     92,                0.91233,                 1.8656,                0.78489,                0.84004,                0.79811,                0.71813,                0.80407,                0.61004,                0.70035,                0.57547,                0.64628,                0.36582,                0.81102,                 1.9405,                0.76126,                0.83293,             0.00079238,             0.00079238,             0.00079238
                     93,                0.87503,                 1.8142,                0.76367,                0.83997,                0.80301,                0.71151,                0.80357,                0.61377,                0.68343,                0.57467,                0.63807,                0.36241,                0.77503,                 1.9636,                 0.7675,                0.82926,             0.00078531,             0.00078531,             0.00078531
                     94,                0.87727,                 1.8225,                0.76669,                 0.8379,                 0.8086,                0.71918,                 0.8082,                0.61756,                0.69392,                0.57782,                0.64434,                0.37423,                0.77291,                 1.9177,                  0.751,                0.82791,             0.00077823,             0.00077823,             0.00077823
                     95,                0.88558,                 1.8312,                0.77582,                0.84027,                0.79658,                0.71448,                0.80408,                0.59724,                0.69952,                0.55754,                0.63221,                0.34576,                0.82407,                 1.9175,                0.76438,                0.83372,             0.00077116,             0.00077116,             0.00077116
                     96,                 0.8768,                 1.7982,                0.76632,                 0.8394,                0.79342,                0.70565,                0.80185,                 0.6014,                0.68416,                0.57063,                0.63571,                0.34989,                0.81166,                 2.0486,                0.79438,                0.83092,             0.00076409,             0.00076409,             0.00076409
                     97,                0.89704,                 1.8646,                 0.7741,                0.83857,                0.81218,                0.71894,                0.80827,                0.61895,                0.69112,                0.58363,                0.64535,                0.36911,                0.77207,                 1.9167,                0.75536,                0.82983,             0.00075701,             0.00075701,             0.00075701
                     98,                0.86461,                 1.7733,                0.75286,                0.83792,                0.80209,                0.72292,                 0.8067,                0.61345,                0.68823,                0.56631,                0.63519,                0.35602,                0.78273,                 1.9263,                0.74824,                0.83148,             0.00074994,             0.00074994,             0.00074994
                     99,                0.91665,                 1.8561,                0.77109,                0.83769,                0.79571,                0.71756,                0.80165,                  0.611,                0.68477,                0.57749,                0.63897,                0.35439,                0.78473,                 1.9382,                0.77482,                0.83129,             0.00074287,             0.00074287,             0.00074287
                    100,                0.86819,                 1.8092,                 0.7605,                 0.8388,                0.79776,                0.71537,                0.80094,                 0.6131,                0.68625,                0.58303,                0.64201,                0.36167,                 0.7792,                 1.9834,                0.78248,                0.83004,             0.00073579,             0.00073579,             0.00073579
                    101,                0.89754,                 1.7918,                 0.7559,                0.83743,                 0.7953,                0.70896,                0.79676,                0.60312,                0.68937,                0.56965,                0.63725,                0.35526,                0.80533,                 1.9424,                 0.7664,                 0.8323,             0.00072872,             0.00072872,             0.00072872
